epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.6843,1.8302,5.34087,1.55092,0.00056,0.16949,0.00033,0.00015,1.2245,4.04993,1.00643,0.00016,0.00016,0.00016
2,4.99775,1.26937,3.28451,1.00161,0.00322,0.9661,0.0796,0.02967,1.03424,3.8855,0.89856,0.00032317,0.00032317,0.00032317
3,6.32777,1.16631,1.98394,0.96591,0.00322,0.9661,0.02123,0.00848,1.02966,3.85479,0.89298,0.00046852,0.00046852,0.00046852
4,7.55612,1.22468,1.92993,0.96381,0.00322,0.9661,0.00599,0.00297,1.0083,3.90062,0.93412,0.00059605,0.00059605,0.00059605
5,8.79593,1.12952,1.85145,0.96401,0.00288,0.86441,0.00407,0.00144,0.94539,3.89279,0.95263,0.00070576,0.00070576,0.00070576
6,10.037,1.13761,1.64214,0.98385,0.00169,0.50847,0.0016,0.00089,0.98391,3.76648,0.9743,0.00079765,0.00079765,0.00079765
7,11.3323,1.06357,1.50397,0.96682,0.00311,0.9322,0.00531,0.00386,0.90435,3.61473,0.95046,0.00087172,0.00087172,0.00087172
8,12.4653,0.96511,1.48662,0.93339,0.00322,0.9661,0.0072,0.00524,0.94669,3.45411,0.96597,0.00092797,0.00092797,0.00092797
9,13.5952,1.007,1.3889,0.95632,0.00322,0.9661,0.28402,0.19903,1.01405,3.33676,0.99085,0.0009664,0.0009664,0.0009664
10,14.7967,0.97669,1.37736,0.92975,0.00328,0.98305,0.94136,0.70188,0.94676,3.04364,0.98293,0.00098701,0.00098701,0.00098701
11,30.9028,1.00531,1.85644,1.01761,0.00328,0.98305,0.93173,0.66348,1.01769,3.00686,1.03376,0.0009898,0.0009898,0.0009898
12,32.1528,1.02155,1.82401,1.00261,1,0.86348,0.98456,0.74349,0.96877,2.24167,0.98646,0.000911,0.000911,0.000911
13,33.4006,0.9545,1.54671,0.97519,0.98289,0.97387,0.99354,0.73836,1.01723,1.86519,0.96985,0.000812,0.000812,0.000812
14,34.6227,0.89108,1.55063,0.93932,0.98286,0.97216,0.99433,0.76157,0.86931,1.76546,0.95022,0.000713,0.000713,0.000713
15,35.7525,0.92475,1.47503,0.95817,0.99349,0.9661,0.99334,0.77318,0.8885,1.51637,0.93792,0.000614,0.000614,0.000614
16,36.9372,0.89021,1.42537,0.95843,0.99606,0.9661,0.99235,0.76349,0.88035,1.19492,0.92849,0.000515,0.000515,0.000515
17,38.0491,0.83738,1.33843,0.93502,0.99674,0.9661,0.99249,0.779,0.86625,1.07558,0.93199,0.000416,0.000416,0.000416
18,39.1522,0.87979,1.32336,0.91582,0.99693,0.9661,0.99279,0.75219,0.9062,0.90855,0.94806,0.000317,0.000317,0.000317
19,40.3118,0.86937,1.34905,0.91603,0.99756,0.9661,0.99282,0.76859,0.89105,0.84031,0.93844,0.000218,0.000218,0.000218
20,41.4954,0.84881,1.27018,0.90893,0.99774,0.9661,0.9931,0.78944,0.84715,0.73931,0.92824,0.000119,0.000119,0.000119
